06:50:43,788508.1872799734,9238004.80757129,3.55
06:50:47,788510.471893239,9238004.629088713,3.5
06:50:52,788512.6644492638,9238004.469552923,3.65
06:50:56,788514.7097540183,9238004.34770929,3.67
06:51:00,788517.1607560879,9238004.26053474,3.7
06:51:05,788519.4253244977,9238003.787063709,3.6
06:51:11,788520.0950935527,9238001.551726002,3.76
06:51:20,788518.7043529446,9238000.02851061,4.5
06:51:25,788516.6775807645,9238000.168696744,4.55
06:51:30,788514.6884784956,9238000.45622566,4.5
06:51:36,788512.4960234445,9238000.634204648,4.54
06:51:40,788510.3398266699,9238000.701323707,4.5
06:51:45,788508.3109371369,9238000.45420546,3.5
06:51:51,788507.6732717047,9237998.447339153,3.45
06:51:57,788508.8608404091,9237996.522712093,3.77
06:52:02,788511.0529927389,9237996.289404044,4.45
06:52:07,788513.2469600658,9237996.388070801,4.55
06:52:12,788515.5706545808,9237996.61513343,4.5
06:52:16,788517.5979307787,9237996.567162544,4.55
06:52:21,788519.584612896,9237995.837000232,3.87
06:52:24,788519.5735210923,9237993.808264613,3.7
06:52:28,788519.1537069966,9237991.191568354,3.77
06:52:32,788517.4886098898,9237990.057168692,3.64
06:52:36,788515.2761102952,9237989.940159928,3.67
06:52:39,788513.2664593412,9237989.84048565,3.53
06:52:43,788510.703557508,9237989.68850524,3.45
06:52:48,788508.3998074695,9237989.737987492,3.44
